status,parameter_provenance,n_air,n_glass,n_water,camera_to_inner_interface_m,glass_thickness_m,field_band,disparity_band,correspondence_count,z_left_camera_median,z_left_camera_mean,ray_gap_median,relative_to_custom_pinhole_median,relative_to_custom_pinhole_p95
hypothetical_sensitivity_only,hypothetical_grid_not_measured,1.0,1.47,1.33,0.03,0.003,near_edge,far_disparity,339,3.1036591358433716,3.2217214615011915,0.0015985162137928835,0.3295869228626531,0.38531696389529074
hypothetical_sensitivity_only,hypothetical_grid_not_measured,1.0,1.47,1.33,0.03,0.003,near_edge,mid_disparity,353,2.869968705109529,2.8692774213243895,0.0011385293486838055,0.31473260325632113,0.33825783449064306
hypothetical_sensitivity_only,hypothetical_grid_not_measured,1.0,1.47,1.33,0.03,0.003,near_edge,near_disparity,268,2.7640817269504234,2.762962419481328,0.003662996067660725,0.3179828085378942,0.43077724792900257
hypothetical_sensitivity_only,hypothetical_grid_not_measured,1.0,1.47,1.33,0.03,0.005,central,far_disparity,39,3.0058598820019826,3.045387806825635,0.0022580818945244514,0.2835495171088953,0.28714238817470134
hypothetical_sensitivity_only,hypothetical_grid_not_measured,1.0,1.47,1.33,0.03,0.005,central,mid_disparity,104,2.840257190412498,2.840582842611197,0.0016838343074863388,0.28393615475182876,0.28841534548621783
hypothetical_sensitivity_only,hypothetical_grid_not_measured,1.0,1.47,1.33,0.03,0.005,central,near_disparity,96,2.727326713326459,2.735746174801895,0.001722726229033405,0.28678246850899614,0.29242740926283584
hypothetical_sensitivity_only,hypothetical_grid_not_measured,1.0,1.47,1.33,0.03,0.005,mid_fov,far_disparity,415,3.026162870742459,3.1062403188249554,0.0014848991776414758,0.29616011440666723,0.3168006704128539
hypothetical_sensitivity_only,hypothetical_grid_not_measured,1.0,1.47,1.33,0.03,0.005,mid_fov,mid_disparity,335,2.8488256492755832,2.848697305155122,0.0016848956383489397,0.2958636900057272,0.31777835997362647
hypothetical_sensitivity_only,hypothetical_grid_not_measured,1.0,1.47,1.33,0.03,0.005,mid_fov,near_disparity,429,2.740085346656056,2.742794689685834,0.0019053384503127369,0.3009324969914611,0.32104019893137914
hypothetical_sensitivity_only,hypothetical_grid_not_measured,1.0,1.47,1.33,0.03,0.005,near_edge,far_disparity,339,3.1038482758236143,3.221902508790809,0.0015986569345053472,0.3296686263753783,0.3853980892189594
hypothetical_sensitivity_only,hypothetical_grid_not_measured,1.0,1.47,1.33,0.03,0.005,near_edge,mid_disparity,353,2.870152998264305,2.869454704772276,0.0011387567919294963,0.3148133960066286,0.33834205605636847
hypothetical_sensitivity_only,hypothetical_grid_not_measured,1.0,1.47,1.33,0.03,0.005,near_edge,near_disparity,268,2.7642600392617473,2.7631424961409574,0.0036631255630388947,0.3180629689909711,0.4308844691022786
hypothetical_sensitivity_only,hypothetical_grid_not_measured,1.0,1.47,1.33,0.03,0.008,central,far_disparity,39,3.006105469304559,3.0456339004200834,0.0022580787616093773,0.283654434803128,0.28725255759128
