side,sample_id,u_px,v_px,n_water,native_air_ray_x,native_air_ray_y,native_air_ray_z,custom_air_ray_x,custom_air_ray_y,custom_air_ray_z,native_air_angle_deg,custom_air_angle_deg,custom_minus_native_air_ray_angle_deg,native_single_interface_water_angle_deg,single_interface_vs_custom_angle_deg,status
right,2,1823.05,53.95,1.336,0.6132495632303687,-0.3221990729511648,0.7211884154554702,0.43369628843188196,-0.23763443216363822,0.8691590223029817,43.84731442250651,29.63894093961591,14.22060435698125,31.232839800209856,1.5938988605939457,single_interface_hypothetical_not_rig_model
right,2,1823.05,53.95,1.34,0.6132495632303687,-0.3221990729511648,0.7211884154554702,0.43369628843188196,-0.23763443216363822,0.8691590223029817,43.84731442250651,29.63894093961591,14.22060435698125,31.129181805523192,1.4902408659072819,single_interface_hypothetical_not_rig_model
right,3,95.95,539.5,1.33,-0.6372068789307536,0.020724838301019347,0.7704140928881849,-0.4793178050235248,0.013318642616942553,0.8775403441131766,39.60891139373614,28.652934764245074,10.957009067773859,28.643366612256866,-0.009568151988208484,single_interface_hypothetical_not_rig_model
right,3,95.95,539.5,1.333,-0.6372068789307536,0.020724838301019347,0.7704140928881849,-0.4793178050235248,0.013318642616942553,0.8775403441131766,39.60891139373614,28.652934764245074,10.957009067773859,28.572958968411594,-0.07997579583348013,single_interface_hypothetical_not_rig_model
right,3,95.95,539.5,1.336,-0.6372068789307536,0.020724838301019347,0.7704140928881849,-0.4793178050235248,0.013318642616942553,0.8775403441131766,39.60891139373614,28.652934764245074,10.957009067773859,28.50291429798038,-0.15002046626469578,single_interface_hypothetical_not_rig_model
right,3,95.95,539.5,1.34,-0.6372068789307536,0.020724838301019347,0.7704140928881849,-0.4793178050235248,0.013318642616942553,0.8775403441131766,39.60891139373614,28.652934764245074,10.957009067773859,28.41008093614363,-0.2428538281014454,single_interface_hypothetical_not_rig_model
right,4,959.5,539.5,1.33,0.0064885025990026445,0.025958748992980705,0.9996419572450639,-0.010922400929933006,0.017444922839298074,0.9997881654755955,1.5332678669168343,1.1793525980715427,1.110500901132227,1.152773164064757,-0.02657943400678575,single_interface_hypothetical_not_rig_model
right,4,959.5,539.5,1.333,0.0064885025990026445,0.025958748992980705,0.9996419572450639,-0.010922400929933006,0.017444922839298074,0.9997881654755955,1.5332678669168343,1.1793525980715427,1.110500901132227,1.1501784269022206,-0.029174171169322083,single_interface_hypothetical_not_rig_model
right,4,959.5,539.5,1.336,0.0064885025990026445,0.025958748992980705,0.9996419572450639,-0.010922400929933006,0.017444922839298074,0.9997881654755955,1.5332678669168343,1.1793525980715427,1.110500901132227,1.1475953450942311,-0.03175725297731158,single_interface_hypothetical_not_rig_model
right,4,959.5,539.5,1.34,0.0064885025990026445,0.025958748992980705,0.9996419572450639,-0.010922400929933006,0.017444922839298074,0.9997881654755955,1.5332678669168343,1.1793525980715427,1.110500901132227,1.1441692312296814,-0.0351833668418613,single_interface_hypothetical_not_rig_model
right,5,1823.05,539.5,1.33,0.6449866774492431,0.020621794430953987,0.7639155238031451,0.4610119482259802,0.013463395997706951,0.8872917899772854,40.189391529272854,27.465117256038607,12.72457039907444,29.0255893918013,1.5604721357626943,single_interface_hypothetical_not_rig_model
right,5,1823.05,539.5,1.333,0.6449866774492431,0.020621794430953987,0.7639155238031451,0.4610119482259802,0.013463395997706951,0.8872917899772854,40.189391529272854,27.465117256038607,12.72457039907444,28.954061943290785,1.4889446872521788,single_interface_hypothetical_not_rig_model
right,5,1823.05,539.5,1.336,0.6449866774492431,0.020621794430953987,0.7639155238031451,0.4610119482259802,0.013463395997706951,0.8872917899772854,40.189391529272854,27.465117256038607,12.72457039907444,28.882904763008185,1.417787506969578,single_interface_hypothetical_not_rig_model
right,5,1823.05,539.5,1.34,0.6449866774492431,0.020621794430953987,0.7639155238031451,0.4610119482259802,0.013463395997706951,0.8872917899772854,40.189391529272854,27.465117256038607,12.72457039907444,28.788599269573684,1.3234820135350773,single_interface_hypothetical_not_rig_model
right,6,95.95,1025.05,1.33,-0.5979852058690167,0.35876196335781463,0.7167311540664574,-0.44370830369295905,0.2558969238615273,0.8588595377546463,44.214746252539165,30.811227990210984,13.416654936016267,31.622679197128363,0.8114512069173792,single_interface_hypothetical_not_rig_model
right,6,95.95,1025.05,1.333,-0.5979852058690167,0.35876196335781463,0.7167311540664574,-0.44370830369295905,0.2558969238615273,0.8588595377546463,44.214746252539165,30.811227990210984,13.416654936016267,31.54331346322276,0.7320854730117752,single_interface_hypothetical_not_rig_model
right,6,95.95,1025.05,1.336,-0.5979852058690167,0.35876196335781463,0.7167311540664574,-0.44370830369295905,0.2558969238615273,0.8588595377546463,44.214746252539165,30.811227990210984,13.416654936016267,31.464371135722686,0.6531431455117023,single_interface_hypothetical_not_rig_model
right,6,95.95,1025.05,1.34,-0.5979852058690167,0.35876196335781463,0.7167311540664574,-0.44370830369295905,0.2558969238615273,0.8588595377546463,44.214746252539165,30.811227990210984,13.416654936016267,31.359767095189337,0.548539104978353,single_interface_hypothetical_not_rig_model
right,7,959.5,1025.05,1.33,0.006093419027780106,0.43969683082550903,0.8981255854314336,-0.011102597864091339,0.3219597478671835,0.9466882554853884,26.087232739576173,18.793065761062543,7.368432942192241,19.307070907808285,0.5140051467457418,single_interface_hypothetical_not_rig_model
right,7,959.5,1025.05,1.333,0.006093419027780106,0.43969683082550903,0.8981255854314336,-0.011102597864091339,0.3219597478671835,0.9466882554853884,26.087232739576173,18.793065761062543,7.368432942192241,19.26190241798184,0.4688366569192972,single_interface_hypothetical_not_rig_model
right,7,959.5,1025.05,1.336,0.006093419027780106,0.43969683082550903,0.8981255854314336,-0.011102597864091339,0.3219597478671835,0.9466882554853884,26.087232739576173,18.793065761062543,7.368432942192241,19.216949136809504,0.42388337574696067,single_interface_hypothetical_not_rig_model
right,7,959.5,1025.05,1.34,0.006093419027780106,0.43969683082550903,0.8981255854314336,-0.011102597864091339,0.3219597478671835,0.9466882554853884,26.087232739576173,18.793065761062543,7.368432942192241,19.15734349159989,0.3642777305373457,single_interface_hypothetical_not_rig_model
right,8,1823.05,1025.05,1.33,0.6059760913839036,0.3571580282371801,0.7107961167147839,0.42706710255266545,0.2588690274763934,0.8663720427914889,44.70027346030883,29.96025421500444,14.746050082778197,31.929187551713774,1.968933336709334,single_interface_hypothetical_not_rig_model
right,8,1823.05,1025.05,1.333,0.6059760913839036,0.3571580282371801,0.7107961167147839,0.42706710255266545,0.2588690274763934,0.8663720427914889,44.70027346030883,29.96025421500444,14.746050082778197,31.848868539662426,1.8886143246579863,single_interface_hypothetical_not_rig_model
right,8,1823.05,1025.05,1.336,0.6059760913839036,0.3571580282371801,0.7107961167147839,0.42706710255266545,0.2588690274763934,0.8663720427914889,44.70027346030883,29.96025421500444,14.746050082778197,31.768979655475533,1.8087254404710933,single_interface_hypothetical_not_rig_model
right,8,1823.05,1025.05,1.34,0.6059760913839036,0.3571580282371801,0.7107961167147839,0.42706710255266545,0.2588690274763934,0.8663720427914889,44.70027346030883,29.96025421500444,14.746050082778197,31.663123861600386,1.7028696465959463,single_interface_hypothetical_not_rig_model
